Time resolution is 1 ps
  time   a   b   rst   inc   dec   gold   out   err 
    5,      0      0       x       x,     ERROR
Stopped at time : 5 ns : File "C:/Users/mpowe/5M01/lab02/lab02.srcs/sources_1/new/fsm2.v" Line 41
   15,      0      0       0       0,          
   25,      0      0       0       0,          
   35,      0      0       0       0,          
   45,      0      0       0       0,          
   55,      0      0       0       0,          
   65,      0      0       0       0,          
Stopped at time : 75 ns : File "C:/Users/mpowe/5M01/lab02/lab02.srcs/sources_1/new/fsm2.v" Line 41
   75,      0      0       0       0,          
   85,      0      0       0       0,          
   95,      0      0       0       0,          
  105,      0      0       0       0,          
  115,      1      0       0       0,     ENTER
  125,      0      0       1       1,          
  135,      0      0       1       1,          
  145,      0      0       1       1,          
  155,      0      0       1       1,          
  165,      0      0       1       1,          
  175,      1      0       1       1,     ENTER
  185,      0      0       2       2,          
  195,      0      0       2       2,          
  205,      0      0       2       2,          
  215,      0      0       2       2,          
  225,      0      0       2       2,          
  235,      1      0       2       2,     ENTER
  245,      0      0       3       3,          
  255,      0      0       3       3,          
  265,      0      0       3       3,          
  275,      0      0       3       3,          
  285,      0      0       3       3,          
  295,      1      0       3       3,     ENTER
  305,      0      0       4       4,          
  315,      0      0       4       4,          
  325,      0      0       4       4,          
  335,      0      0       4       4,          
  345,      0      0       4       4,          
  355,      1      0       4       4,     ENTER
  365,      0      0       5       5,          
  375,      0      0       5       5,          
  385,      0      0       5       5,          
  395,      0      0       5       5,          
  405,      0      0       5       5,          
  415,      1      0       5       5,     ENTER
  425,      0      0       6       6,          
  435,      0      0       6       6,          
  445,      0      0       6       6,          
  455,      0      0       6       6,          
  465,      0      0       6       6,          
  475,      1      0       6       6,     ENTER
  485,      0      0       7       7,          
  495,      0      0       7       7,          
  505,      0      0       7       7,          
  515,      0      0       7       7,          
  525,      0      0       7       7,          
  535,      1      0       7       7,     ENTER
  545,      0      0       8       8,          
  555,      0      0       8       8,          
  565,      0      0       8       8,          
  575,      0      0       8       8,          
  585,      0      0       8       8,          
  595,      1      0       8       8,     ENTER
  605,      0      0       9       9,          
  615,      0      0       9       9,          
  625,      0      0       9       9,          
  635,      0      0       9       9,          
  645,      0      0       9       9,          
  655,      1      0       9       9,     ENTER
  665,      0      0      10      10,          
  675,      0      0      10      10,          
  685,      0      0      10      10,          
  695,      0      0      10      10,          
  705,      0      0      10      10,          
  715,      1      0      10      10,     ENTER
  725,      0      0      11      11,          
  735,      0      0      11      11,          
  745,      0      0      11      11,          
  755,      0      0      11      11,          
  765,      0      0      11      11,          
  775,      1      0      11      11,     ENTER
  785,      0      0      12      12,          
  795,      0      0      12      12,          
  805,      0      0      12      12,          
  815,      0      0      12      12,          
  825,      0      0      12      12,          
  835,      1      0      12      12,     ENTER
